ticker,ftcode
TWD,274152
TAM,265007
TNO,428110243
TRL,27308383
TAO,430702430
TAP,265076
TEX,5909236
TAR,41268420
TFL,86443
TAS,265168
TGR,267848
TAW,265303
TDL,228552
TMP,51814018
TCN,265976
TMT,373302690
TNE,270358
TGH,343786496
TLX,439018320
TLS,269616
TPW,319835885
TGG,267744
TPP,221585
TER,24788500
TMX,4306779
TZN,274839
TNT,323505775
A2M,86540647
AU1,9130940
CGL,80404493
FOD,43643574
GO2,436332016
GGL,9231397
THC,406187694
PGR,75736407
TRS,272313
SGR,34171005
TNK,79812959
TMZ,27308384
THR,5372906
TGA,6063603
TOP,288467
TEK,1729302
TPS,219040
THD,21524899
THX,268373
TIA,225701
TPO,80254703
TB8,400106777
TIE,448318793
TGS,267859
TIG,36767206
TKF,5909239
TLT,368830106
TML,299462834
TNY,404061095
TTM,5892636
TSL,230900
TTT,428438976
TOU,55587714
TNG,270382
TIN,436895645
TRT,382171155
TOM,252349
TBH,320048269
TTW,8859432
TNR,58836417
TOE,4306780
TFG,324924837
TWR,56664148
TOX,271118
TPC,7678156
TPM,257848
TPE,294665959
TME,39706371
TTC,298900950
TTI,273316
TKL,269133
TSN,237393
TTL,35971691
TCO,266012
TCL,265926
TWE,31673737
TKM,7884267
TEG,21727633
TBR,265607
TIL,367671342
TNP,3696335
TON,19876209
TRY,272492
TRM,6785711
TAU,238226
TTA,3916121
TUP,52379327
TGN,51013204
TRA,419008734
TV2,7402565
TYK,5426138
TYX,7678160
TZL,274830
UCW,275635
UIL,80171184
UUL,7402563
UTR,31464140
UNL,377532300
UOS,277508
UBL,454531785
UBI,5980330
UNV,26952879
UPD,319466808
USA,5593093
URB,402287278
UBN,78408561
URF,48279033
USR,79993191
UCM,275565
UUV,403789822
VMX,84549
VAL,181127
VAN,1418642
VAR,235546
VLT,29980100
VMG,3916119
VEC,9231399
VBS,321033767
VEE,368486095
VP7,380442325
VPC,35858432
VRX,28104843
VMS,5361441
VXR,7068076
VMC,7363198
VRM,8859433
VRI,27605544
VRS,11893280
VG1,429004886
VIA,280634
VCX,40340790
VIG,74450218
VIC,48076045
VIE,287524
VII,280834
VKA,23718456
VLW,199912
VRL,282439
VMY,11631596
VLA,235006
VAH,279643
VRT,58298142
VTI,400412448
VGL,77350962
VTG,3347787
VLS,8107229
VML,3292163
VVR,358093196
VIV,9695997
VMT,222358
VOC,113944
VHT,343025665
VPR,217222
VRC,28038021
VIP,263735
VYS,8990707
WGN,442407677
WKT,5933269
WAA,9258831
WAM,283643
WLE,349616320
WMI,415451432
WAX,285475
WGL,255078
SOL,257488
WRG,28549200
WAT,283709
WGF,375415140
WMK,59142904
WTP,288207
WHA,400429759
WAL,283632
WDE,86360740
WEB,284512
WBA,283895
WBT,27506023
WLD,319871741
WLL,2524741
WES,284705
WAF,24326657
WWI,9532038
WSA,287752
WFD,76051977
WGX,373366067
WIC,20442137
WBC,283907
WSI,4802238
WCN,9216746
WEC,258460
WRM,26831512
WBE,273044
WHF,285230
WHC,7563112
WHK,449597322
WEL,78438895
WND,422200868
WNR,61175
WQW,375608100
WFE,222443
WTC,339231743
WLF,26414568
WOF,3909848
WLC,7666029
WMC,321006106
WPL,287154
WOW,287002
WRR,266652
WNS,286741
WOR,286965
WPG,1832680
WPP,252178
XAM,27459186
XIP,316836420
XRO,51013249
XPD,86360857
XPE,7486254
XF1,6945232
XRF,5593096
XST,220519
XTD,31367556
XTE,3105258
XTV,7466452
YAL,47163803
YBR,9687363
YOJ,27155472
YNB,35760375
YOW,1742033
YPB,1418412
ZEL,66867477
ZGZ,442147837
ZAM,8674069
ZGM,6063613
ZLD,139483
ZNT,60406
ZEN,408716984
ZNC,7334327
ZTA,45305776
ZER,57896873
ZEU,52026669
ZGL,293605
ZIM,294666
ZMI,41287590
Z1P,21702225
ZIP,71790
ZNO,142178
ZYB,20708569
