ticker,ftcode
CDD,72054
CDP,72263
CIN,75783
CVN,83935
CAV,6672768
CCE,78489
CAP,8737551
CAR,20525895
CCV,71867
CZI,39503167
CMD,5086970
CCZ,28155313
CDT,4574061
CYL,5120342
CAT,82162985
CXU,253740
CAZ,70441
CBC,82304823
CBL,308087632
CT1,41006
CWP,84342
CNL,21561804
CDY,2754755
CLT,77143
CLA,282417
CTM,138137
CTL,45126611
CVR,7576082
CTP,3494642
CAF,27731853
CXM,4798444
CNI,220960
CIP,59713041
CMA,80536687
CYA,84686
CVS,83995
CFO,357797431
CHN,4483100
CEL,8952554
CGF,73885
CHR,75117
CIA,7356426
CCA,352903709
CWL,8816292
CHP,75080
CHC,27871625
CLW,367457985
CQR,198103
CHZ,7299508
CDC,323504775
CMC,24708742
CTC,446930651
CDH,72118
CNU,39341182
CII,36856
CIM,182542
CRO,225758
CNW,181723
CTO,83046
CLY,7678159
CND,78310
CL1,321005095
CLZ,58251839
CSS,3696331
CLQ,8952553
CWY,1704543
CVW,202616
CDG,7900613
CAM,69753
CIW,181975
CUV,27486573
CLV,77177
CMI,77578
CGR,23114108
CA8,359697267
COB,380011410
CCL,71595
COH,79168
CDA,71973
CGS,74099
CHK,35079876
CKA,39292
CL8,288040
CLH,76822
CLL,8375741
CKF,35887434
CRL,81322
COI,79226
CBA,70547
CCG,444640568
COM,79390
CMP,77795
CPU,80487
CDB,28076764
CNJ,7356424
CIO,39739
CXZ,95521
COG,283517
CSD,9626926
CZL,4925342
CEN,300277662
CGA,236661
CQG,409596669
CIE,294777983
CVF,82356055
CRR,418813887
COE,79064
CSE,81982
COY,9335901
CZN,1751231
CD1,49020907
CD2,56950933
CD3,357446618
CXO,27629206
CIZ,25838020
CNA,457734092
CTD,27528971
COO,79559
CGC,292986095
CGM,73977
CUP,28155905
CCJ,39114916
CVT,5965338
CYG,84858
CZR,5336532
CGO,74041
CXX,36903438
CGN,140693
CRD,442409665
CCP,71701
CPH,367574066
CMW,78042
CLI,421653227
CUX,6926310
CM8,238505
CSK,229388
CWN,9421731
CAS,70153
CTE,82800
CSV,7128279
CSL,82193
CSR,82367
CLX,77209
CDU,54499
CUE,83477
CUL,83513
CV1,298471412
CVC,83753
CYB,325096015
CYQ,8952555
CYC,6195515
CY5,445699724
CYP,9071871
DCN,51235737
DAU,25307377
DNK,260653
DHR,30738601
DTM,7082870
DTL,93425
DDT,86771
DTR,34986559
DAV,378324481
DW8,288813
DEG,88466
DEM,405294340
DSX,54789
DCG,1675263
DYL,94506
DLC,48748
DMI,34935600
D13,45155616
DGH,89264
DEV,62769
DVN,93904
DXS,92660
DGO,9448865
DGR,89365
DRX,2327700
DDR,27317116
DMC,320037656
DCC,280868
DXB,51188069
DXF,335544235
DGX,9114665
DM1,59739
DAF,37108025
DUI,93641
DJW,90322
DCL,369696344
DHG,438986215
DME,68678866
DMP,1745764
DNA,273597
DFM,309088451
DRM,22046489
DOR,429233751
DVL,70138536
DTZ,9335899
DOW,91904
DRA,27428670
DMG,7892775
DTS,375434784
DRG,40330656
DRK,1534842
DN8,372892359
DRO,346108038
DSE,261751
DTI,80536690
DUB,221489
DKM,77070823
DLX,24872738
DBF,445266332
D2O,364052368
DWS,4950134
DMA,3582559
E2M,373098466
EHH,415924275
EER,9287979
EWE,6144328
EGS,205340
EFE,11521069
EAS,2524739
EBO,69928310
ECG,81059550
EAR,4574058
EPM,24296398
ECX,86359442
ETK,457707789
EDE,4574060
EGA,363017115
EHX,52432768
EDC,380433360
ENN,76484697
ERF,370131240
ELD,105236
EOS,99315
ELT,21381081
EXL,446761467
EXR,103843
ELK,1908415
EAI,299404828
EGI,79537440
ELX,98048
ELO,415579749
ELS,413106728
EMB,98132
EHL,5162749
EMR,1742275
EMG,9448866
EMF,50917406
EML,3916120
